Which Footballer has won the most Balon D'Ors,Messi
How many Balon D'Ors has Messi won,7
Where do Barcelona play their Home games,The Camp Nou
Who is the Captain of England,Harry Kane
Which Club does Neymar play for,PSG
Which Nation hosted the 2022 World Cup,Qatar
Who is the highest all-time International Goalscorer,Cristiano Ronaldo
Who is the Coach of Manchester City,Pep Guardiola
Which Player wears the number 11 shirt for Liverpool,Mohamed Salah
Where is Jose Mourinho from,Portugal
